DATE,PAYEMS
2010-01-01,129802
2010-02-01,129706
2010-03-01,129866
2010-04-01,130120
2010-05-01,130642
2010-06-01,130510
2010-07-01,130415
2010-08-01,130415
2010-09-01,130341
2010-10-01,130620
2010-11-01,130749
2010-12-01,130830
2011-01-01,130837
2011-02-01,131057
2011-03-01,131283
2011-04-01,131597
2011-05-01,131703
2011-06-01,131931
2011-07-01,131992
2011-08-01,132125
2011-09-01,132344
2011-10-01,132553
2011-11-01,132690
2011-12-01,132888
2012-01-01,133246
2012-02-01,133509
2012-03-01,133748
2012-04-01,133825
2012-05-01,133932
2012-06-01,134013
2012-07-01,134157
2012-08-01,134339
2012-09-01,134517
2012-10-01,134669
2012-11-01,134825
2012-12-01,135074
2013-01-01,135257
2013-02-01,135546
2013-03-01,135689
2013-04-01,135873
2013-05-01,136096
2013-06-01,136279
2013-07-01,136391
2013-08-01,136646
2013-09-01,136821
2013-10-01,137041
2013-11-01,137317
2013-12-01,137372
2014-01-01,137561
2014-02-01,137712
2014-03-01,137985
2014-04-01,138298
2014-05-01,138513
2014-06-01,138849
2014-07-01,139072
2014-08-01,139269
2014-09-01,139563
2014-10-01,139798
2014-11-01,140089
2014-12-01,140364
2015-01-01,140568
2015-02-01,140827
2015-03-01,140923
2015-04-01,141196
2015-05-01,141538
2015-06-01,141709
2015-07-01,141991
2015-08-01,142125
2015-09-01,142275
2015-10-01,142579
2015-11-01,142808
2015-12-01,143077
2016-01-01,143210
2016-02-01,143406
2016-03-01,143662
2016-04-01,143854
2016-05-01,143900
2016-06-01,144147
2016-07-01,144520
2016-08-01,144661
2016-09-01,144967
2016-10-01,145065
2016-11-01,145183
2016-12-01,145408
2017-01-01,145628
2017-02-01,145846
2017-03-01,145970
2017-04-01,146175
2017-05-01,146380
2017-06-01,146583
2017-07-01,146772
2017-08-01,146919
2017-09-01,147008
2017-10-01,147149
2017-11-01,147372
2017-12-01,147523
2018-01-01,147660
2018-02-01,148054
2018-03-01,148280
2018-04-01,148420
2018-05-01,148742
2018-06-01,148960
2018-07-01,149020
2018-08-01,149277
2018-09-01,149358
2018-10-01,149527
2018-11-01,149617
2018-12-01,149809
2019-01-01,150060
2019-02-01,150067
2019-03-01,150295
2019-04-01,150591
2019-05-01,150618
2019-06-01,150838
2019-07-01,150937
2019-08-01,151169
2019-09-01,151365
2019-10-01,151460
2019-11-01,151667
2019-12-01,151794
2020-01-01,152031
2020-02-01,152293
2020-03-01,150895
2020-04-01,130426
2020-05-01,133040
2020-06-01,137671
2020-07-01,139255
2020-08-01,140821
2020-09-01,141770
2020-10-01,142460
2020-11-01,142733
2020-12-01,142548
2021-01-01,142863
2021-02-01,143380
2021-03-01,144232
2021-04-01,144587
2021-05-01,145065
2021-06-01,145820
2021-07-01,146762
2021-08-01,147314
2021-09-01,147771
2021-10-01,148572
2021-11-01,149230
2021-12-01,149816
2022-01-01,150006
2022-02-01,150825
2022-03-01,151315
2022-04-01,151623
2022-05-01,151924
2022-06-01,152358
2022-07-01,153072
2022-08-01,153362
2022-09-01,153582
2022-10-01,153939
2022-11-01,154242
2022-12-01,154342
2023-01-01,154776
2023-02-01,155066
2023-03-01,155134
2023-04-01,155375
2023-05-01,155655
2023-06-01,155880
2023-07-01,156043
2023-08-01,156261
2023-09-01,156417
2023-10-01,156576
2023-11-01,156703
2023-12-01,156857
2024-01-01,157032
2024-02-01,157238
2024-03-01,157466
2024-04-01,157530
2024-05-01,157608
2024-06-01,157695
2024-07-01,157748
2024-08-01,157757
2024-09-01,157912
2024-10-01,157945
2024-11-01,158079
2024-12-01,158316
